SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
Cymbopetalum;Cymbopetalum;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Cymbopetalum;Cymbopetalum;J. Sinclair;2000ABS-21;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Dasymaschalon;Dasymaschalon;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Dasymaschalon;Dasymaschalon;Leerat. & Chalermglin;2000ABS-22;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Dendrokingstonia;Dendrokingstonia;Annonaceae;Malmeoideae;Dendrokingstonieae;Dendrokingstonieae;Dendrokingstonia;Dendrokingstonia;King;2000ABS-23;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Dennettia;Dennettia;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Dennettia;Dennettia;(Roxb.) Hook. f. & Thomson;2000ABS-24;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Desmopsis;Desmopsis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Desmopsis;Desmopsis;Hook. f. & Thomson;2000ABS-25;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Desmos;Desmos;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Desmos;Desmos;Keﬂler;2000ABS-26;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Diclinanona;Diclinanona;Annonaceae;Annonoideae;Annoneae;Annoneae;Diclinanona;Diclinanona;Dunn;2000ABS-27;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Dielsiothamnus;Dielsiothamnus;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Dielsiothamnus;Dielsiothamnus;Merr. & Chun;2000ABS-28;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Disepalum;Disepalum;Annonaceae;Annonoideae;Annoneae;Annoneae;Disepalum;Disepalum;H. Okada;2000ABS-29;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Drepananthus;Drepananthus;Annonaceae;Ambavioideae;Canangeae;Canangeae;Drepananthus;Drepananthus;Craib;2000ABS-30;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Duguetia;Duguetia;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Duguetia;Duguetia;(Pierre) Finet & Gagnep.;2000ABS-31;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Ephedranthus;Ephedranthus;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Ephedranthus;Ephedranthus;Leerat. & Chalermglin;2000ABS-32;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Fenerivia;Fenerivia;Annonaceae;Malmeoideae;Fenerivieae;Fenerivieae;Fenerivia;Fenerivia;I. M. Turner & Utteridge;2000ABS-33;100002;Madagascar - Indian Islands;Madagascar - Indian Islands;NA;subtropical;NA;NA;NA;NA;NA
Fissistigma;Fissistigma;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Fissistigma;Fissistigma;Keﬂler;2000ABS-34;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Friesodielsia;Friesodielsia;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Friesodielsia;Friesodielsia;B‚n;2000ABS-35;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Froesiodendron;Froesiodendron;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Froesiodendron;Froesiodendron;Aug. DC.;2000ABS-36;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Fusaea;Fusaea;Annonaceae;Annonoideae;Annoneae;Annoneae;Fusaea;Fusaea;P. T. Li;2000ABS-37;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Goniothalamus;Goniothalamus;Annonaceae;Annonoideae;Annoneae;Annoneae;Goniothalamus;Goniothalamus;(Roxb.) Hook. f. & Thomson;2000ABS-38;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Greenwayodendron;Greenwayodendron;Annonaceae;Malmeoideae;Piptostigmateae;Piptostigmateae;Greenwayodendron;Greenwayodendron;Hook. f. & Thomson;2000ABS-39;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Guatteria;Guatteria;Annonaceae;Annonoideae;Guatterieae;Guatterieae;Guatteria;Guatteria;(Cavaco & Keraudren) Le Thomas;2000ABS-40;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Hexalobus;Hexalobus;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Hexalobus;Hexalobus;(Baill.) Le Thomas;2000ABS-41;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Hornschuchia;Hornschuchia;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Hornschuchia;Hornschuchia;(Dunal) A. DC.;2000ABS-42;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Huberantha;Huberantha;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Huberantha;Huberantha;R. E. Fr.;2000ABS-43;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Isolona;Isolona;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Isolona;Isolona;Timmerman;2000ABS-44;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Klarobelia;Klarobelia;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Klarobelia;Klarobelia;(Becc.) J. Sinclair;2000ABS-45;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Leoheo;Leoheo;Annonaceae;Malmeoideae;Monocarpieae;Monocarpieae;Leoheo;Leoheo;R. E. Fr.;2000ABS-46;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Letestudoxa;Letestudoxa;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Letestudoxa;Letestudoxa;Timmerman;2000ABS-47;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Lettowianthus;Lettowianthus;Annonaceae;Ambavioideae;Canangeae;Canangeae;Lettowianthus;Lettowianthus;Benth.;2000ABS-48;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
